region,species,year,abundance.all,abundance.hatch,abundance.nat
ak.cook,pink,1993,2.308755,1.54882,0.759935
ak.cook,pink,1994,3.505077,1.737113,1.767964
ak.cook,pink,1995,4.127779,2.633469,1.49431
ak.cook,pink,1996,1.503279,0.598424,0.904855
ak.cook,pink,1997,4.041537,2.957917,1.08362
ak.cook,pink,1998,3.315125,1.490722,1.824403
ak.cook,pink,1999,1.876053,1.261757,0.614296
ak.cook,pink,2000,2.401818,1.343141,1.058677
ak.cook,pink,2001,1.376577,0.750495,0.626082
ak.cook,pink,2002,3.590111,1.359097,2.231014
ak.cook,pink,2003,1.67882,0.943512,0.735308
ak.cook,pink,2004,7.952572446,2.614434,5.338138446
ak.cook,pink,2005,6.847903875,2.366005,4.481898875
ak.cook,pink,2006,3.0842,0.284522,2.799678
ak.cook,pink,2007,2.023011,0.1358,1.887211
ak.cook,pink,2008,1.236,0.005,1.231
ak.cook,pink,2009,2.748647,0,2.748647
ak.cook,pink,2010,0.640911,0,0.640911
ak.cook,pink,2011,0.790246,0,0.790246
ak.cook,pink,2012,1.451196,0,1.451196
ak.cook,pink,2013,4.29455,0.2352,4.05935
ak.cook,pink,2014,1.827508,0.146335,1.681173
ak.cook,pink,2015,13.146518,2.472,10.674518
ak.cook,sockeye,1952,2.309386302,0,2.309386302
ak.cook,sockeye,1953,2.286074686,0,2.286074686
ak.cook,sockeye,1954,2.000112796,0,2.000112796
ak.cook,sockeye,1955,1.779474618,0,1.779474618
ak.cook,sockeye,1956,2.107703,0,2.107703
ak.cook,sockeye,1957,1.272942,0,1.272942
ak.cook,sockeye,1958,1.0269,0,1.0269
ak.cook,sockeye,1959,1.227947,0,1.227947
ak.cook,sockeye,1960,1.663849,0,1.663849
ak.cook,sockeye,1961,1.982278,0,1.982278
ak.cook,sockeye,1962,1.962984,0,1.962984
ak.cook,sockeye,1963,1.690524,0,1.690524
ak.cook,sockeye,1964,1.727099,0,1.727099
ak.cook,sockeye,1965,2.304205,0,2.304205
ak.cook,sockeye,1966,2.849643,0,2.849643
ak.cook,sockeye,1967,2.263184,0,2.263184
ak.cook,sockeye,1968,1.906856,0,1.906856
ak.cook,sockeye,1969,1.341961,0,1.341961
ak.cook,sockeye,1970,1.399803,0,1.399803
ak.cook,sockeye,1971,1.262215,0,1.262215
ak.cook,sockeye,1972,1.604503,0,1.604503
ak.cook,sockeye,1973,1.310905,0,1.310905
ak.cook,sockeye,1974,1.056869,0,1.056869
ak.cook,sockeye,1975,1.331877,0,1.331877
ak.cook,sockeye,1976,2.619311,0,2.619311
ak.cook,sockeye,1977,3.200463042,0.005726042,3.194737
ak.cook,sockeye,1978,3.250421,0,3.250421
ak.cook,sockeye,1979,1.626406,0,1.626406
ak.cook,sockeye,1980,2.485691293,0.000264293,2.485427
ak.cook,sockeye,1981,2.623696544,0.356835544,2.266861
ak.cook,sockeye,1982,4.327347192,0.269161192,4.058186
ak.cook,sockeye,1983,6.222884766,0.239442766,5.983442
ak.cook,sockeye,1984,3.313901,0.2903,3.023601
ak.cook,sockeye,1985,5.510583,0.5987,4.911883
ak.cook,sockeye,1986,5.862478,0.66677,5.195708
ak.cook,sockeye,1987,11.51324738,0.900340384,10.612907
ak.cook,sockeye,1988,8.048425,0.066499,7.981926
ak.cook,sockeye,1989,6.857786,0.203931,6.653855
ak.cook,sockeye,1990,4.761948384,0.970161384,3.791787
ak.cook,sockeye,1991,3.399363298,1.057793298,2.34157
ak.cook,sockeye,1992,10.40393,0.600427,9.803503
ak.cook,sockeye,1993,6.169534,0.644192,5.525342
ak.cook,sockeye,1994,5.167729,0.344382,4.823347
ak.cook,sockeye,1995,4.317536,0.401484,3.916052
ak.cook,sockeye,1996,5.3094,0.480902,4.828498
ak.cook,sockeye,1997,5.828504,0.205355,5.623149
ak.cook,sockeye,1998,2.494604,0.254373,2.240231
ak.cook,sockeye,1999,4.087738,0.639194,3.448544
ak.cook,sockeye,2000,3.529066608,0.480505,3.048561608
ak.cook,sockeye,2001,3.986611108,1.228558,2.758053108
ak.cook,sockeye,2002,5.388280862,1.366465,4.021815862
ak.cook,sockeye,2003,7.45151898,1.78208,5.66943898
ak.cook,sockeye,2004,8.107575014,1.883386,6.224189014
ak.cook,sockeye,2005,8.272114128,1.344244,6.927870128
ak.cook,sockeye,2006,5.354381574,1.91288,3.441501574
ak.cook,sockeye,2007,6.176895095,0.764672,5.412223095
ak.cook,sockeye,2008,4.961885803,0.281766,4.680119803
ak.cook,sockeye,2009,4.797211932,0.29431,4.502901932
ak.cook,sockeye,2010,5.496138056,0.304998,5.191140056
ak.cook,sockeye,2011,9.164269451,0.325662,8.838607451
ak.cook,sockeye,2012,6.865905197,0.179537,6.686368197
ak.cook,sockeye,2013,6.131648975,0.191153,5.940495975
ak.cook,sockeye,2014,6.157235431,0.2882,5.869035431
ak.cook,sockeye,2015,6.350111111,0.27,6.080111111
ak.kod,chum,1952,1.722292913,0,1.722292913
ak.kod,chum,1953,0.906951177,0,0.906951177
ak.kod,chum,1954,1.730723674,0,1.730723674
ak.kod,chum,1955,0.823941001,0,0.823941001
ak.kod,chum,1956,1.101367663,0,1.101367663
ak.kod,chum,1957,1.683669961,0,1.683669961
ak.kod,chum,1958,1.36837987,0,1.36837987
ak.kod,chum,1959,1.136047663,0,1.136047663
ak.kod,chum,1960,1.785464816,0,1.785464816
ak.kod,chum,1961,0.870673142,0,0.870673142
ak.kod,chum,1962,1.208894147,0,1.208894147
ak.kod,chum,1963,0.58721713,0,0.58721713
ak.kod,chum,1964,1.600521603,0,1.600521603
ak.kod,chum,1965,0.757548633,0,0.757548633
ak.kod,chum,1966,1.170805268,0,1.170805268
ak.kod,chum,1967,0.365913,0,0.365913
ak.kod,chum,1968,0.899431,0,0.899431
ak.kod,chum,1969,0.622216,0,0.622216
ak.kod,chum,1970,1.017486,0,1.017486
ak.kod,chum,1971,1.789492,0,1.789492
ak.kod,chum,1972,1.51579,0,1.51579
ak.kod,chum,1973,0.642091,0,0.642091
ak.kod,chum,1974,0.363201,0,0.363201
ak.kod,chum,1975,0.281521,0,0.281521
ak.kod,chum,1976,1.029266,0,1.029266
ak.kod,chum,1977,1.915872,0,1.915872
ak.kod,chum,1978,1.302021,0,1.302021
ak.kod,chum,1979,0.958773,0,0.958773
ak.kod,chum,1980,1.936798,0,1.936798
ak.kod,chum,1981,2.116822,0,2.116822
ak.kod,chum,1982,2.352449,0,2.352449
ak.kod,chum,1983,1.956846,0,1.956846
ak.kod,chum,1984,1.327835002,0.000437002,1.327398
ak.kod,chum,1985,1.046188239,0.119276239,0.926912
ak.kod,chum,1986,1.825596,0.078909,1.746687
ak.kod,chum,1987,1.13069395,0.00747695,1.123217
ak.kod,chum,1988,2.009993,0.004989,2.005004
ak.kod,chum,1989,1.190262912,0.005013912,1.185249
ak.kod,chum,1990,1.068113,0.0253,1.042813
ak.kod,chum,1991,1.984495869,0.056188869,1.928307
ak.kod,chum,1992,1.19375,0.01903,1.17472
ak.kod,chum,1993,0.812849,0.053525,0.759324
ak.kod,chum,1994,1.12072,0.0492,1.07152
ak.kod,chum,1995,1.968201,0.263291,1.70491
ak.kod,chum,1996,0.912953,0.045592,0.867361
ak.kod,chum,1997,0.755106,0.029103,0.726003
ak.kod,chum,1998,0.572108,0.05485,0.517258
ak.kod,chum,1999,1.415608,0.173714,1.241894
ak.kod,chum,2000,1.958754,0.338214,1.62054
ak.kod,chum,2001,1.496769,0.244308,1.252461
ak.kod,chum,2002,1.068644,0.144247,0.924397
ak.kod,chum,2003,1.512482,0.506906,1.005576
ak.kod,chum,2004,1.99216401,0.278578,1.71358601
ak.kod,chum,2005,0.87349805,0.124959,0.74853905
ak.kod,chum,2006,2.06642525,0.212526,1.85389925
ak.kod,chum,2007,1.0968395,0.256129,0.8407105
ak.kod,chum,2008,1.18791875,0.129035,1.05888375
ak.kod,chum,2009,1.32223925,0.153236,1.16900325
ak.kod,chum,2010,1.11016225,0.235542,0.87462025
ak.kod,chum,2011,1.3508645,0.36553,0.9853345
ak.kod,chum,2012,1.2929965,0.252467,1.0405295
ak.kod,chum,2013,1.28875075,0.13158,1.15717075
ak.kod,chum,2014,0.643898,0.098,0.545898
ak.kod,chum,2015,1.317213,0.127,1.190213
ak.kod,pink,1952,6.572561721,0,6.572561721
ak.kod,pink,1953,7.270871831,0,7.270871831
ak.kod,pink,1954,10.91934292,0,10.91934292
ak.kod,pink,1955,13.43139836,0,13.43139836
ak.kod,pink,1956,5.058094664,0,5.058094664
ak.kod,pink,1957,6.73686646,0,6.73686646
ak.kod,pink,1958,5.933470605,0,5.933470605
ak.kod,pink,1959,3.329916135,0,3.329916135
