species,stat.area,year,escapement,cdn.harvest,noncdn.harvest,total.harvest,total.run
chum,2,1992,284051.8005,147405,0,147405,431456.8005
chum,2,1993,378893.5206,177198,0,177198,556091.5206
chum,2,1994,373002.392,152767,0,152767,525769.392
chum,2,1995,367712.5699,45718,0,45718,413430.5699
chum,2,1996,415105.2939,123348,0,123348,538453.2939
chum,2,1997,310502.7206,55080,0,55080,365582.7206
chum,2,1998,541848.8273,114882,0,114882,656730.8273
chum,2,1999,568972.0409,130177,0,130177,699149.0409
chum,2,2000,391216.9557,106865,0,106865,498081.9557
chum,2,2001,363595.5883,318,0,318,363913.5883
chum,2,2002,311117.1721,7795,0,7795,318912.1721
chum,2,2003,321992.6259,6001,0,6001,327993.6259
chum,2,2004,404273.3459,10616,0,10616,414889.3459
chum,2,2005,360015.0068,104567,0,104567,464582.0068
chum,2,2006,297116.2774,37420,0,37420,334536.2774
chum,2,2007,137810.5967,0,0,0,137810.5967
chum,2,2008,269834.6977,3800,0,3800,273634.6977
chum,2,2009,337432.6879,0,0,0,337432.6879
chum,2,2010,266706.4765,7744,0,7744,274450.4765
chum,2,2011,211867.0521,0,0,0,211867.0521
chum,2,2012,356878.2576,0,0,0,356878.2576
chum,2,2013,186972.4383,0,0,0,186972.4383
chum,2,2014,179568.6135,0,0,0,179568.6135
chum,2,2015,,,,,
chum,2,2016,,,,,
chum,2,2017,,,,,
chum,3,1954,39816.04877,18750.30869,13333.13589,32083.44458,71899.49335
chum,3,1955,12985.46136,5881.747215,4295.282592,10177.02981,23162.49117
chum,3,1956,59489.60489,63031.55342,27892.99733,90924.55076,150414.1556
chum,3,1957,96335.45014,69181.0864,37681.26564,106862.352,203197.8022
chum,3,1958,92207.73169,49166.29173,32185.01451,81351.30624,173559.0379
chum,3,1959,211779.9023,91385.61338,69018.24171,160403.8551,372183.7574
chum,3,1960,103166.5089,38573.32874,32268.29527,70841.62401,174008.1329
chum,3,1961,126185.5867,45901.00725,39176.9958,85078.00305,211263.5897
chum,3,1962,86445.62093,14834.19048,23057.22169,37891.41217,124337.0331
chum,3,1963,100376.0226,4802.060503,23944.69684,28746.75734,129122.78
chum,3,1964,140690.2366,31686.47749,39243.04416,70929.52165,211619.7583
chum,3,1965,48609.58535,22881.75227,16275.61898,39157.37124,87766.95659
chum,3,1966,54014.69357,15397.35937,15802.25191,31199.61128,85214.30484
chum,3,1967,46119.69827,39780.71257,19555.96865,59336.68121,105456.3795
chum,3,1968,76106.3634,33697.12106,24997.7093,58694.83036,134801.1938
chum,3,1969,40023.58739,15949.46482,12742.7476,28692.21242,68715.79981
chum,3,1970,54967.89404,15765.19034,16102.99609,31868.18643,86836.08047
chum,3,1971,43978.63569,11225.88493,12567.78476,23793.66969,67772.30538
chum,3,1972,122799.6431,34916.30315,35905.39405,70821.6972,193621.3403
chum,3,1973,105774.984,18553.50818,28304.45245,46857.96063,152632.9446
chum,3,1974,210714.0838,82229.52495,66691.13654,148920.6615,359634.7453
chum,3,1975,54426.80799,7569.227774,14113.9317,21683.15947,76109.96746
chum,3,1976,104773.3704,10275.24776,26191.80919,36467.05695,141240.4274
chum,3,1977,102533.3293,88181.79968,43417.94231,131599.742,234133.0713
chum,3,1978,105976.4948,55030.69911,36654.67493,91685.37404,197661.8688
chum,3,1979,70900.89215,25069.81262,21848.55782,46918.37044,117819.2626
chum,3,1980,86235.69071,39546.38531,28635.37335,68181.75866,154417.4494
chum,3,1981,26305.59985,12223.25887,8771.426652,20994.68553,47300.28537
chum,3,1982,35240.31107,17652.12374,8252.390124,25904.51387,61144.82494
chum,3,1983,73632.2728,59908.49934,37085.71833,96994.21767,170626.4905
chum,3,1984,102292.1268,108934.4833,40098.3252,149032.8085,251324.9353
chum,3,1985,84286.37955,37586.60446,21920.40598,59507.01044,143793.39
chum,3,1986,55384.47359,30839.8437,23990.79797,54830.64167,110215.1153
chum,3,1987,54101.12915,34633.77863,8615.711621,43249.49025,97350.6194
chum,3,1988,82663.57219,24272.85861,12343.86722,36616.72583,119280.298
chum,3,1989,60137.64817,33030.97141,34260.08901,67291.06042,127428.7086
chum,3,1990,54621.42806,25092.98732,19523.04523,44616.03255,99237.46061
chum,3,1991,67995.93234,48877.32158,42458.69868,91336.02026,159331.9526
chum,3,1992,33043.68791,29004.96079,12258.06516,41263.02595,74306.71385
chum,3,1993,142222.8255,196450.0834,128610.8663,325060.9498,467283.7753
chum,3,1994,70656.65834,27746.59962,20229.3476,47975.94722,118632.6056
chum,3,1995,70805.51252,45553.64048,25443.11622,70996.7567,141802.2692
chum,3,1996,39809.03087,22408.70165,14307.14948,36715.85112,76524.88199
chum,3,1997,38014.10365,9170.796364,7578.150521,16748.94688,54763.05054
chum,3,1998,246177.7256,43319.75043,52939.85049,96259.60093,342437.3266
chum,3,1999,60140.19465,50511.79854,18154.72732,68666.52586,128806.7205
